a	ə
òptic	ˈɔ p . t i k
òrgan	ˈɔ ɾ . g ə n
òvul	ˈɔ . b u l
ós	ˈo s
óssos	ˈo . s u s
aïllada	ə . ˈi . ʎ ˈa . ð ə
aïllament	ə . i . ʎ ə . m ˈe n
aïllat	ə . ˈi . ʎ ˈa t
aïllats	ə . ˈi . ʎ ˈa t s
aïllaven	ə . ˈi . ʎ ˈa . b ə n
aèria	ə . ˈɛ . ɾ i . ə
aèries	ə . ˈɛ . ɾ i . ə s
abaixa	ə . β ˈa ʃ ə
abaixà	ə . β ə ʃ ˈa
abaixo	ə . β ˈa ʃ u
abandó	ə . β ə n . d ˈo
abandonada	ə . β ə n . d u . n ˈa . ð ə
abandonament	ə . b ə n . d u . n ə . m ˈe n
abandonant	ə . β ə n . d u . n ˈa n 
abandonar	ə . β ə n . d u . n ˈa
abandonar-se	ə . β ə n . d u . n ˈa ɾ s ə
abandonats	ə . β ə n . d u . n ˈa t s
abandonava	ə . β ə n . d u . n ˈa . b ə
abans	ə . β ˈa n s
abast	ə . β ˈa s t
abatre	ə . β ˈa . t ɾ ə
abdomen	ə b . d ˈo . m ə n
abductor	ə b . d u k . t ˈo
abdul	ə b . d ˈu l
abecedari	ə . β ə . s ə . ð ˈa . ɾ i
abelles	ə . b ˈɛ . ʎ ə s
aberració	ə . β ə . r ə . s i . ˈo
abillats	ə . β i . ʎ ˈa t s
abnegats	ə b . n ə . ɣ ˈa t s
abocament	ə . b u . k ə . m ˈe n
abocaments	ə . β u . k ə . m ˈe n s
abocar	ə . β u . k ˈa
abocat	ə . β u . k ˈa t
abolir-se	ə . β u . l ˈi ɾ s ə
abonada	ə . β u . n ˈa . ð ə
abonarà	ə . β u . n ə . ɾ ˈa
abonar-se	ə . β u . n ˈa ɾ s ə
abonava	ə . β u . n ˈa . b ə
aboquem	ə . β u k ˈɛ m
aboqui	ə . b ˈɔ . k i
abordar	ə . β u ɾ . d ˈa
abraçades	ə . β ɾ ə . s ˈa . ð ə s
abraçar-la	ə . β ɾ ə . s ˈa ɾ l ə
abraçar-lo	ə . β ɾ ə . s ˈa ɾ l u
abraçats	ə . β ɾ ə . s ˈa t s
abraçava	ə . β ɾ ə . s ˈa . b ə
abraço	ə . β ɾ ˈa . s u
abraona	ə . β ɾ ə . ˈo . n ə
abraonarà	ə . β ɾ ə . u . n ə . ɾ ˈa
abrasat	ə . β ɾ ə . z ˈa t
abreujada	ə . β ɾ ə w . ʒ ˈa . ð ə
abric	ə . β ɾ ˈi k
abrigat	ə . β ɾ i . ɣ ˈa t
abril	ə . β ɾ ˈi l
absència	ə b . s ˈɛ n . s i . ə
absent	ə b . s ˈe n 
absolut	ə b . s u . l ˈu t
absoluta	ə b . s u . l ˈu . t ə
absoluts	ə b . s u . l ˈu t s
absorbeix	ə b . s u ɾ . b ˈɛ ʃ
absort	ə b . s ˈɔ ɾ t
abstenir-se	ə b s . t ə . n ˈi ɾ s ə
abstinència	ə b s . t i . n ˈɛ n . s i . ə
abstracció	ə b s . t ɾ ə k . s i . ˈo
abstracte	ə b s . t ɾ ˈa k . t ə
abstractes	ə b s . t ɾ ˈa k . t ə s
abstrets	ə b s . t ɾ ˈe t s
absurditat	ə b . s u ɾ . d i . t ˈa t
abundar	ə . β u n . d ˈa
Òbviament	ˈɔ b . b i . ə . m ˈe n 
aca	ˈa . k ə
acaba	ə . k ˈa . β ə
acabada	ə . k ə . β ˈa . ð ə
acabades	ə . k ə . β ˈa . ð ə s
acabament	ə . k ə . b ə . m ˈe n
acabar	ə . k ə . β ˈa
acabaré	ə . k ə . β ə . ɾ ˈe
acabaríem	ə . k ə . β ə . ɾ ˈi . ə m
acabaran	ə . k ə . β ə . ɾ ˈa n
acabar-ho	ə . k ə . β ˈa ɾ u
acabaria	ə . k ə . β ə . ɾ ˈi . ə
acabés	ə . k ə . β ˈe s
acabat	ə . k ə . β ˈa t
acabats	ə . k ə . β ˈa t s
acabava	ə . k ə . β ˈa . b ə
acabaven	ə . k ə . β ˈa . b ə n
acabem	ə . k ə . b ˈɛ m
acaben	ə . k ˈa . β ə n
acabes	ə . k ˈa . β ə s
acabessim	ə . k ə . β ə . s ˈi m
acabi	ə . k ˈa . β i
acabo	ə . k ˈa . β u
acadèmia	ə . k ə . ð ˈɛ . m i . ə
acadèmic	ə . k ə . ð ˈɛ . m i k
acadèmies	ə . k ə . ð ˈɛ . m i . ə s
academicista	ə . k ə . ð ə . m i . s ˈi s . t ə
acústic	ə . k ˈu s . t i k
acaricia	ə . k ə . ɾ i . s ˈi . ə
acariciant	ə . k ə . ɾ i . s i . ˈa n 
acariciava	ə . k ə . ɾ i . s i . ˈa . b ə
acarona	ə . k ə . ɾ ˈo . n ə
acaronant	ə . k ə . ɾ u . n ˈa n 
acaronar	ə . k ə . ɾ u . n ˈa
acaronar-li	ə . k ə . ɾ u . n ˈa ɾ l i
acaronat	ə . k ə . ɾ u . n ˈa t
acàcia	ə . k ˈa . s i . ə
accés	ə k . s ˈe s
accedíssim	ə k . s ə . ð ˈi . s i m
accedeixen	ə k . s ə . d ˈɛ ʃ ə n
accedir	ə k . s ə . ð ˈi
accedir-hi	ə k . s ə . ð ˈi ɾ i
accediu	ə k . s ə . ð ˈi w
accelerat	ə k . s ə . l ə . ɾ ˈa t
accentuant	ə k . s ə n . t u . ˈa n 
accepta	ə k . s ˈe p . t ə
acceptable	ə k . s ə p . t ˈa . β l ə
acceptació	ə k . s ə p . t ə . s i . ˈo
acceptant-la	ə k . s ə p . t ˈa n l ə
acceptar	ə k . s ə p . t ˈa
acceptaré	ə k . s ə p . t ə . ɾ ˈe
acceptarà	ə k . s ə p . t ə . ɾ ˈa
acceptarem	ə k . s ə p . t ə . ɾ ˈɛ m
acceptat	ə k . s ə p . t ˈa t
acceptaven	ə k . s ə p . t ˈa . b ə n
acceptem	ə k . s ə p . t ˈɛ m
